country,continent,development,population,roads,size,osmdistancekm,osmdistancemiles,coverage,iso_n3
Iraq,Asia,1,38146025,59623,438317,84214,52328,1.4124,368
Ireland,Europe,1,4952473,96036,70273,116339,72290,1.2114,372
Isle of Man,Europe,1,88195,500,572,1168,726,2.3368,null
Israel,Asia,1,8174527,18566,20770,30098,18702,1.6211,376
Italy,Europe,1,62007540,487700,301340,622061,386531,1.2755,380
Jamaica,North-America,1,2970340,22121,10991,13016,8088,0.5884,388
Japan,Asia,1,126702133,1218772,377915,1332992,828283,1.0937,392
Jersey,Europe,1,98069,576,116,892,554,1.5479,null
Jordan,Asia,1,8185384,7203,89342,31868,19802,4.4243,400
Kazakhstan,Asia,1,18360353,97418,2724900,158845,98702,1.6306,398
Kenya,Africa,1,46790758,160878,580367,76948,47813,0.4783,404
Kiribati,Oceania,1,106925,670,811,478,297,0.7134,null
"Korea, North",Asia,1,25115311,25554,120538,41532,25807,1.6253,408
"Korea, South",Asia,1,50924172,104983,99720,119307,74134,1.1364,410
Kosovo,Europe,1,1883018,2003,10887,12043,7483,6.0123,-099
Kuwait,Asia,1,2832776,6608,17818,12006,7460,1.8168,414
Kyrgyzstan,Asia,1,5727553,34000,199951,38111,23681,1.1209,417
Laos,Asia,1,7019073,39586,236800,24132,14995,0.6096,418
Latvia,Europe,1,1965686,72440,64589,57471,35711,0.7934,428
Lebanon,Asia,1,6237738,6970,10400,14511,9017,2.0820,422
Lesotho,Africa,1,1953070,5940,30355,12629,7847,2.1260,426
Liberia,Africa,1,4299944,10600,111369,20546,12767,1.9383,430
Libya,Africa,1,6541948,100024,1759540,65029,40407,0.6501,434
Liechtenstein,Europe,1,37937,380,160,599,372,1.5755,null
Lithuania,Europe,1,2854235,84166,65300,78110,48535,0.9280,440
Luxembourg,Europe,1,582291,2899,2586,7187,4466,2.4792,442
Macau,Asia,1,597425,424,28,317,197,0.7477,null
Macedonia,Europe,1,2100025,14182,25713,14849,9227,1.0471,807
Madagascar,Africa,1,24430325,37476,587041,45604,28337,1.2169,450
Malawi,Africa,1,18570321,15450,118484,26097,16216,1.6891,454
Malaysia,Asia,1,30949962,144403,329847,91784,57032,0.6356,458
Maldives,Asia,1,392960,88,298,779,484,8.8514,null
Mali,Africa,1,17467108,22474,1240192,93290,57968,4.1510,466
Malta,Europe,1,415196,3096,316,2596,1613,0.8385,null
Marshall Islands,Oceania,1,73376,2028,181,146,91,0.0722,null
Mauritania,Africa,1,3677293,10628,1030700,13726,8529,1.2915,478
Mauritius,Africa,1,1348242,2149,2040,3037,1887,1.4131,null
Mexico,North-America,1,123166749,377660,1964375,496106,308266,1.3136,484
"Micronesia, Federated States of",Oceania,1,104719,388,702,399,248,1.0287,null
Moldova,Europe,1,3510485,9352,33851,33275,20676,3.5580,498
Monaco,Europe,1,30581,77,2,259,161,3.3650,null
Mongolia,Asia,1,3031330,49249,1564116,62818,39033,1.2755,496
Montenegro,Europe,1,644578,7762,13812,11613,7216,1.4961,499
Morocco,Africa,1,33655786,58395,446550,111112,69042,1.9028,504
Mozambique,Africa,1,25930150,30331,799380,61575,38261,2.0301,508
Namibia,Africa,1,2436469,44138,824292,57812,35923,1.3098,516
Nauru,Oceania,1,9591,30,21,47,29,1.5557,null
Nepal,Asia,1,29033914,10844,147181,66991,41626,6.1777,524
Netherlands,Europe,1,17016967,138641,41543,150739,93665,1.0873,528
New Caledonia,Oceania,1,275355,5622,18575,5028,3124,0.8943,540
New Zealand,Oceania,1,4474549,94902,267710,105732,65699,1.1141,554
Nicaragua,North-America,1,5966798,23897,130370,20548,12768,0.8599,558
Niger,Africa,1,18638600,18949,1267000,25663,15946,1.3543,562
Nigeria,Africa,1,186053386,193200,923768,218855,135990,1.1328,566
Niue,Oceania,1,1190,120,260,137,85,1.1400,null
Norfolk Island,Oceania,1,2210,80,36,82,51,1.0260,null
Northern Mariana Islands,Asia,1,53467,536,464,838,521,1.5643,null
Norway,Europe,1,5265158,93870,323802,138603,86124,1.4765,578
Oman,Asia,1,3355262,60230,309500,37057,23026,0.6153,512
Pakistan,Asia,1,201995540,263942,796095,137124,85205,0.5195,586
Panama,North-America,1,3705246,15137,75420,16464,10230,1.0876,591
Papua New Guinea,Oceania,1,6791317,9349,462840,16581,10303,1.7736,598
Paraguay,South-America,1,6862812,32059,406752,52114,32382,1.6256,600
Peru,South-America,1,30741062,140672,1285216,136279,84680,0.9688,604
Philippines,Asia,1,102624209,216387,300000,180808,112349,0.8356,608
Poland,Europe,1,38523261,412035,312685,387723,240920,0.9410,616
Portugal,Europe,1,10833816,82900,92090,150688,93633,1.8177,620
Puerto Rico,North-America,1,3578056,26862,13790,36447,22647,1.3568,630
