country    population roads      size       
United Arab    5927482       4080      83600
United King   64430428     394428     243610
United Stat  323995528    6586610    9826675
Uruguay        3351016      77732     176215
Uzbekistan    29473614      86496     447400
Vanuatu         277554       1070      12189
Venezuela     30912302      96189     912050
Vietnam       95261021     195468     331210
Virgin Isla     102951       1260       1910
West Bank      2697687       4686       5860
Yemen         27392779      71300     527968
Zambia        15510711      40454     752618
Zimbabwe      14546961      97267     390757
